,Sentence,Emotion
42310,폭식증이 왔어요,슬픔
42311,아니면 성형을 해야하나요ㅠ,슬픔
42312, 목이 많이 아파요-_-;;;,슬픔
42313,빈털털이가 되어서 돌아왔거든요..  그럼...,슬픔
42314,"휴`~!!>. 요세 몇일간 ,,,",슬픔
42315,13개월동안 기다렸습니다~,슬픔
42316,  저는...야자도 째고 그렇고있지만...연아선수 보면서...  반성 많이 하고 있습니다...,슬픔
42317,올시즌 시련도 많았지만...,슬픔
42318, 와 진짜 오늘 오빠만 생각나는 밤이야 정마 류ㅠㅠㅠㅠㅠㅠ,슬픔
42319,이제는 '믿음'이라는 것이 없어지는 나라가 되는게 아닌지...,슬픔
42320,제발 문 좀 열고 숨도 쉴수 있으면 좋겠어요,슬픔
42321,중국놈들아 너네먼지는 너네가 알아서 처리좀해라. 어쩜이렇게 미개하지국민성이,슬픔
42322,갈때 가시더라도 제발 아부다비나 두바이 쪽 경유좀 하지마셈 출장가려고 하니 표가 없어요 에혀~,슬픔
42323,이제 저 기술도 대기업이 쏙 빼먹겠지..,슬픔
42324,엘지폰은 햇빛 아래 화면이 잘 안보이는게 불편함,슬픔
42325,상가 월세가 느ㅁ느무 비싸서노예가 따로없는 자영업자 될까봐1년째 고민중,슬픔
42326,목아파 뒤질꺼같다 진심.......ㅠㅠ,슬픔
42327,차라리 더운게 낫지...,슬픔
42328,어쩐지 자고나면 아파..,슬픔
42329, 이제는...하,슬픔
42330, 부모가 잘 모르고 먹이게 냅두니까 먹인 거지..,슬픔
42331,동물이 판치는 세상이다...,슬픔
42332,한국인이 없어 천만다행이지만 이런일 좀 안일어났으면 ㅜ,슬픔
42333,점점 낭떠러지 끝으로 달려가는 기분.,슬픔
42334, 다리골절되면 다리한쪽당 300만원,슬픔
42335, 내가 죽어도 여한 없게. .,슬픔
42336,챙피하다..,슬픔
42337, 평생모으지도 말고 다 써야 한다는건가..,슬픔
42338, 1년쩨 바꿀까 말까만 고민중,슬픔
42339,오늘따라 신경안정제가 땡기는 밤이네요...0,슬픔
42340,보험사 총무나 보험대리점 총무로 계신분 있나요??있으시면 댓글좀 달아주세용 ㅠㅠ,슬픔
42341,살려줘.. 배고파서잠이안왘ㅋㅋ,슬픔
42342, 답장 더 이상 안하겠대요.,슬픔
42343,아 근데 저는 낮가림도 심하고 아휴..,슬픔
42344, 기렸다가 잊어보려다가그래도 당신을 사랑해서 놓을수가 없더라구..,슬픔
42345,아무리 생각안하려해도 잊혀지지 않는다,슬픔
42346,댓글알바 솔직히 힘만들고 돈도 별로 못받음더 좋은 알바없나?,슬픔
42347, 계속 고민되네요,슬픔
42348, 많이 힘드네요..,슬픔
42349,아진짜 미치겠습니다..요,슬픔
42350,참고로 정말 진지하게 고민중임 ㅜㅜ0,슬픔
42351, 제가 줄임말도 마니쓰고 글씨도 안좋고..,슬픔
42352,저처럼 출산 후 배가 아프셨던 분 없으신가요?,슬픔
42353,처음 걸려봐서 정말괴롭네요,슬픔
42354, 제발 답변 좀 해주세요 ㅠㅠ,슬픔
42355,넌 내가 얼마나 힘들었는지 알 거야,슬픔
42356,하 힘들다..,슬픔
42357, 아 죽고싶다 아0,슬픔
42358,교무실로 오면 저 진짜 죽어요ㅠㅠㅠㅠㅠㅠ,슬픔
42359,정말 걱정이네요;ㅜ,슬픔
42360,그렇다고 딴데보면서 계산하면 더 웃기고..,슬픔
42361,아직 제가 어려서 그런가요??ㅜㅜ,슬픔
42362,이래서 차이면 자존감이 낮아지는구나.,슬픔
42363,사랑하는데떳떳하지 못한게 얼마나 힘든지 아냐?,슬픔
42364, 미쳐버리겠어요,슬픔
42365,두달간 사람 사는게 아닐만큼 힘들었구요.,슬픔
42366,돌아버리겠따0,슬픔
42367,어떻게 하면 건강하게 살뺄수 있을까요?,슬픔
42368,친구라고하는데 전 이해못하겠어요ㅠㅠㅠㅠㅠ,슬픔
42369, 진짜 님들이 맡아보시면 기절할거에요....,슬픔
42370,그리고 헤어질상상하면 너무 슬프고 힘든데..,슬픔
42371,제가 헤어지자그래놓고 왜이러는건지모르겠네요..,슬픔
42372, 붕가파워가 솟구치는 느낌쓸데가 없어서 괴로움...ㅠㅠ0,슬픔
42373, 과씨씨여서 자주 마주치는데 이게 정말 너무 힘들어요,슬픔
42374,갑자기 아파서 고민임.0,슬픔
42375, 작작하지 않음 비참한거 티나여,슬픔
42376,근데 꿈이어서 고민...,슬픔
42377,저도 이런 글 쓰는거 무지 불편한데요........,슬픔
42378,사소한 다툼으로 남자쪽에서 헤어지자고 했는데.,슬픔
42379,돼지에요..,슬픔
42380,진짜 너무너무 아파요,슬픔
42381, 면접스트레스 ㅠㅠㅠㅠ,슬픔
42382, 살기 싫어..,슬픔
42383,자리가 없어서1시간동안서서 갔네요..,슬픔
42384, 너무 힘듭니다..,슬픔
42385, 아프네요,슬픔
42386,그렇다고 보내자니 안보고 살 자신도 없어요.,슬픔
42387,그냥 영원히 꿈만 꾸고 싶다 ㅜ,슬픔
42388, 고민이잇어 이렇게 올립니다.,슬픔
42389,오늘도 프사보고싶은거 꾹참았다,슬픔
42390,또 게임이 시작돼면 희얼을 느끼고요.....,슬픔
42391,배가 나와서 정장은 입기도 힘들고 원피스를 입어야 하는데..,슬픔
42392, 너무 질투나서 미쳐버리겟습니다 ㅜㅜ,슬픔
42393, 집에도 돈이 없어서 못돌아가는데 어쩌죠??,슬픔
42394,층간소음이 소음인가봐?,슬픔
42395, 일하는건 너무 힘든거같습니다,슬픔
42396, 시어머님도 맨날 저 일시키고 죽겟어요 ㅠㅠㅠ,슬픔
42397,현실적으로 얼마나 힘든지..,슬픔
42398,살찌면..키가 안큰다는데 혹시?..,슬픔
42399, 이제는 저도 지쳐서 애정이 식어가네요.,슬픔
42400, 이젠 백수 2개월 접어드니 힘드네요,슬픔
42401,인간관계로 너무 힘들어서 자퇴하고싶다 ..,슬픔
42402,그리구 식단 어떻게 하는지 도움좀 주세요ㅠ,슬픔
42403, 집안 내력도 좀 있는거같은데 빼는법좀 ㅠㅠ,슬픔
42404,다른 분들에 비해 별거아니지만ㅠㅠ,슬픔
42405, 전 어떻해야 되죠,슬픔
42406,저같은 놈도 오라는 회사가 잇네요..,슬픔
42407,원래 다니던병원에 병원 옮기겟다하면 싫어하겠지요?,슬픔
42408, 다시는 연락하지 않겠다고말하고 헤어졌는데 미치겠습니다.,슬픔
42409,평소에는 괜찮아서 그냥 두었는데마음이 편치 않아 이렇게 글을 올립니다.,슬픔
42410,저도 힘들긴하지만...,슬픔
42411,회계직원이 회계마감때문에 어찌나 엄살을 피우는지 듣기 괴롭네요.,슬픔
42412,내가 더 힘들까?오빠가 더 힘들까?,슬픔
42413,취업하기도 힘든데..,슬픔
42414,다이어트는 혼자 하는거자체가진짜힘든거같아요!,슬픔
42415,특히 남자들이 더 무서워요ㅠㅠ,슬픔
42416, 다른걸 할까합니다.,슬픔
42417, 한번 더럽다고 어렴풋이 느껴도 무조건 닦아야됨,슬픔
42418,저도 사람인데...,슬픔
42419,다시 만난다 해도이젠 나도 자신이 없는데 왜 자꾸 니가 보고싶지,슬픔
42420,이렇게 나마 여쭤봅니다 ㅠㅠ,슬픔
42421,나지금정말너무힘들어서그러는데 아빠한테 말씀드려야될까,슬픔
42422, 군인들은 뭘 사가야 좋아할까요ㅠㅠ,슬픔
42423,으아 코막혀죽겠네요0,슬픔
42424, 아이온 업데이트해달라는데? ㅠㅠㅠㅠㅠ,슬픔
42425,조언좀부탁해ㅠㅜㅠㅠ,슬픔
42426,그냥 늦는다고만 보내셨으면 좋겠어요ㅠㅠ,슬픔
42427,이번 무릎도 지금 6개월째인데 여전히 아픔..,슬픔
42428,우리 정말 사귀는 걸까?ㅠ,슬픔
42429,저랑헤어지고 첫달은 놀러간사진 놀러도자주다니고 .,슬픔
42430,하루종일 고민중이거든요..,슬픔
42431,?진짜 기다리는 시간이1분이 1분이 아닌거 같아요 ㅠㅠ,슬픔
42432, 그저 오래 살고 싶다는생각이 들지 않습니다...,슬픔
42433,죽고싶다방구뿡먹은건 있나 방구만 나오고,슬픔
42434, 저같은경우에 지금 쉬고있는데하루하루가 정말 지옥?같네요,슬픔
42435,근데 여자친구가제월급을 자기가 관리하고싶어하는데요,슬픔
42436,정말 힘드네요,슬픔
42437,퍼질대로 퍼지고미추어 버리겠네,슬픔
42438,안나가야지너무피곤하다12시간넘게일하고 지금들어옴,슬픔
42439,너무 힘들어서 말할게.,슬픔
42440,어떻게 하면 빨리 잊을까요,슬픔
42441, 놓치기싫어서억지로붙잡고있는데 너무힘드네요,슬픔
42442,오늘하루는 좀 힘들것같다,슬픔
42443, 한달기준으로 맨날 오면포장 하기전에 쓰러질듯;;,슬픔
42444,남편과 고민끝에 세가지를 정했는데 어떤게 좋을지 아직 고민중이예요 ㅠㅠ,슬픔
42445, 답답해서 글남겨봅니다0,슬픔
42446,아아악 미치겠어요,슬픔
42447,조금자다깨서 또힘주고 안나오면울고 ㅜㅜ,슬픔
42448,궁금해서 묻고 싶지만대답을 안해줄거같아서 고민ㅜㅜㅜㅜ0,슬픔
42449,저희 아들래미 태어나고 다음날 병원에서 아가 사진 찍어준것이에요~ ^ ^스님같아요 ㅜㅜㅜ,슬픔
42450,좀 자괴감도 들고...,슬픔
42451,생활패턴 바뀌니까 미치겟네여  낮에 자고 밤새 일하고...,슬픔
42452,저는 임신이 잘 안돼서 고민중입니다..,슬픔
42453,근데 그때의 기억때문에 계속 너무 힘드네요..,슬픔
42454, 너무 힘들어.,슬픔
42455,쇼핑몰보다가 진짜 충격먹었어요..,슬픔
42456,넘힘들어서..그만두려하는데..,슬픔
42457,사실 많이 힘들었어요,슬픔
42458,오래사귀면서 힘들 때가 한두번이 아닌데요,슬픔
42459, 너무우울하구불안해요,슬픔
42460, 두시간 근무시간이 늘어나니힘드네요 . .,슬픔
42461,걱정되기도 하고ㅠㅠ,슬픔
42462,저도 나름 열심히 해볼려고.. 노력중인데..,슬픔
42463, 그게 불가능하고 힘드니..,슬픔
42464,어쩌져 ㅜㅜ?0,슬픔
42465,숫기도없고 뭐 잘하는것도없어요 ..,슬픔
42466, 약속은 지켜야지 ...힘드네요 ..,슬픔
42467," 이성이 없으면 알지결국 알콜중독, 주변사람 피해, 건강, 돈 낭비지켜보는 사람은 고문수준",슬픔
42468,허벅지 너무 아파서 다리 풀어주다가 해야될것같아요 ㅠㅜ,슬픔
42469,너무너무 힘들다.,슬픔
42470, 현재경력은 딱히 경력이라 하기도좀 뭐하고.. ㅠ,슬픔
42471,  이권태기도 2달됫는데 사라지지않네요,슬픔
42472,경차는 절대 안된다하구 아반떼도 안된대요.,슬픔
42473,너무 고민되네요,슬픔
42474,아니면 그냥 포기가 먼저인건지..,슬픔
42475,"무조건 안된다라고 하면, 너무 옥죄이는 것 같고...",슬픔
42476,아..난 7개월정도됐는데요즘들어부쩍 피곤하네요,슬픔
42477,딱히 딴 곳도 없는 거 같아서 고민0,슬픔
42478,ㅂㄹ과 ㄱㅊ 붙어있는 양 사이가가려워 미치겠어요,슬픔
42479,취업하기도 너무 힘들고 벅찹니다.,슬픔
42480,방귀만 꼈다 싶으면 죽을 정도로 고통 스러운데...,슬픔
42481,그동안의 감춰왔던힘든 부분이 한꺼번에저를 덮쳐와서요.,슬픔
42482,이번 설에 어떻게 할지 고민입니다.,슬픔
42483,여러모로 마음이 혼란스럽네요.0,슬픔
42484,저는 일단 문과인데 커서 뭐 할지를 모르겠어요.,슬픔
42485,막달들어서면서 붓기가 너무 심하네요...,슬픔
42486,도대체 얼마나 운동을 해야하는거?,슬픔
42487,그래서 미리 말씀드려놓구 싶어서요ㅜ,슬픔
42488, 또 화내면 친구우정 깨질수도있을것갔고....,슬픔
42489,여워져서 고민...0,슬픔
42490,다들 적금 얼마씩 넣나요..?ㅠㅠ하..,슬픔
42491, 진짜 이러다가 내가미치는게아닐까 생각마져해요..,슬픔
42492, 저도 너무 힘들어요,슬픔
42493,친구들한테도 다정히 말을 잘 못하겠더라고요.,슬픔
42494,잠은 자야함 ㅠㅠ,슬픔
42495,어쩜 더 니생각이나서 힘들지도 모르겟어,슬픔
42496,다이어트 하시는 토커님들은 어떠세요? ㅠㅠ,슬픔
42497,제가지금고민이많아요ㅠㅠ,슬픔
42498,하2틀 쉬고있는디 뭐가 이렇게 답답한지,슬픔
42499,게다가 여러가지 힘든 일이 너무 많이 겹쳐서 지금 너무 힘들어요.,슬픔
42500,예민한성격인지 참 돌겠네요0,슬픔
42501,미치겟습니다..,슬픔
42502, 책상에 30분이상을 앉아있지를 못해요.,슬픔
42503,이 기억을 안고 살아가기엔 너무 가혹해 ..,슬픔
42504, 수업시간에도 마려울수있는거잖아 진짜 방광터질뻔햇다고..;,슬픔
42505,매일2번씩 해야하니 손도 아프네요.,슬픔
42506,다들 상사가 개떡같거나 또라이라면 어떻게 시련을 헤쳐 나가셨나요?,슬픔
42507,회식이 힘드네요,슬픔
42508,제가사는이유는뭘까요?ㅎㅎ..캬캬,슬픔
42509,  3kg 감량중인데 1차목표까지 7kg나 남았네요 ㅠ,슬픔
42510,지금 죽어도 상관없어..,슬픔
42511,연락와도 안받아줘야될까요,슬픔
42512,지금 죽을것같습니다 -_,슬픔
42513,제기차기 하고 씨름도 하고 족구도하고.피엑스가서 냉동 돌려먹고ㅠㅠ,슬픔
42514,자세한 답변 부탁드립니다.,슬픔
42515,너를 붙잡기도너를 기다리기에도 나는 너무 지쳤다,슬픔
42516,그러면서 뚱뚱한거좀보라고 수근거리시더라고요....,슬픔
42517,일은 해야하는데 출퇴근이 힘들어서...,슬픔
42518,근데 임신전보다 3키로그람 쪘네요.,슬픔
42519, 한잔만 먹어도 토함.,슬픔
42520,힘들다고 들어가지말란다.,슬픔
42521,점점 지쳐간다 헤어질까,슬픔
42522,워드시험또 2번이나 떨어졌음...졸업해서 취업은 망했음......,슬픔
42523,기저귀를 떼야하는데 쉽지가 않네요.,슬픔
42524,그동안 많이 힘들었지,슬픔
42525, 사귀는건 아닌데 좋아하는 감정을 전달하기가 너무 어렵네... ㅠㅠ,슬픔
42526, 생리통은 좀 나아졌는데...,슬픔
42527, 그사람은 이미 사랑하는 여친도 있는데 저만 이렇게 죽을 것 같아요.,슬픔
42528,하하 방금 버스타고 집에 가고있는데 너무힘들어요ㅠ,슬픔
42529,이런 나의 행복이 연아양에게 부담이 될지도 모른다는 생각에오늘은 마음이 넘 아팠어요.,슬픔
42530,근력운동 3세트하는데 좀 힘드네요,슬픔
42531,날 힘들게 했던 사람인데마음이ㅎ 참 정리가 안되네요,슬픔
42532,ㅠㅠㅠㅠㅠㅠㅠ몇주전부터 다이어트를시작했습니다,슬픔
42533, 저기가더힘드네,슬픔
42534, 견디기가 너무 힘들어요,슬픔
42535,여기다 이런글 써도 되는지 모르겠지만마음정리를 할  수 있는곳이 필요해서 염치 불구하고글을 씁니다....,슬픔
42536, 히히아 고민이 있어서요 ㅠㅠ,슬픔
42537,내일도 보고싶을 거 같다..,슬픔
42538,제남자친구가 저에게 많이 지쳐서 이별을 말한상태인데요,슬픔
42539, 요즘따라 자꾸 사고싶은 충동이 이네요.0,슬픔
42540,정말 여자친구만 바라보다가 하루아침에 이별을 통보받으니 어찌 해야될지 모르겠네요.,슬픔
42541,같은것도 해보고싶은데 괜히 했다가 돈만날릴것 같고보험도 들긴 보험료도 아깝고....,슬픔
42542,어제부터 막 깨질듯이 아픈데감기오려나 ㅠㅠ,슬픔
42543,50시간쯤 된거같은데피시방 오래있다가 죽는사람들 있지않나,슬픔
42544,  밥먹고 나면 더아프고 앉아 있지를 못하겟어요,슬픔
42545, 이것때문에 너무스트레스받는 어자친구한테 뭐라고해야 기분이좀풀릴까요 ㅠㅠ,슬픔
42546,그때의 추억들이 그리운걸꺼야..,슬픔
42547,너무 괴롭다.,슬픔
42548,"직업상 야근이 잦고, 너무 바빠서평일에는 제 개인시간이 1도 없습니다.",슬픔
42549, 슬슬 힘들기도 합니다.,슬픔
42550,문제는 그동안 출근한 부분에 대해서 돈 계산 부분입니다.,슬픔
42551,글만 읽고 답글을 안 써주셔서답답한마음에 여기에 글을 올리네여..,슬픔
42552,헤어진지 두달하고 12일정도...오빠를 다시 만나고싶어..,슬픔
42553,어떻게 하면 이런 생각이 없어질까요0,슬픔
42554,싸우고 끊은거라 신경이 쓰이네염ㅠㅠ,슬픔
42555," 기대치를 채우지 못할까봐 너무 걱정스럽습니다;;...,,",슬픔
42556,짜증나 지적하고싶다 하지만 가만히 있어야겠지...?,슬픔
42557,외모에 자신이 없는 편이라 자신감이 점점 없어지더라고요,슬픔
42558,지금 이시간에 학교 도서관에서 공부하는놈들 너무많음 ㅠㅠ,슬픔
42559, 그럼 내가 먼저 할텐데사람 속내를 들여볼 수 없으니 참 답답하구만,슬픔
42560, 올때까지 기다리겠습니다 ㅠㅠ,슬픔
42561, 그래서 이번에도 안하면........하아...,슬픔
42562,개인 생활을 거의 포기해야할 정도로 일이 많음..,슬픔
42563, 연락이 안올거 아는데...,슬픔
42564,뜨아힘들거나,슬픔
42565, 지금 몇달이 지났는데도 니생각이나냐..,슬픔
42566,오빠는 내가있던없던 예전처럼 잘지내고있는데..,슬픔
42567,똥이 너무 나온다..,슬픔
42568, 고등학교 자퇴까지 생각할 정도로 너무 힘들어서..,슬픔
42569,연락은 다 받아줬는데..,슬픔
42570,아프리카tv나유튜브실황같은걸자주보는데항상손으로들고있거나아니면눕혀서보는데보기너무힘들더군요.,슬픔
42571,정말 내 생활이없는 회사 이직이답인가요 ㅠㅠ,슬픔
42572,입덧이 다시 시작하는지 입맛이 없네요 ...,슬픔
42573,너무 어렵게 설명해논거같아서이해가 잘안되네요 ㅠㅠ,슬픔
42574,운동은..무리네요ㅜㅜ,슬픔
42575, 20일동안 5kg~넘게 좀 빼고싶은데 혼자할려니까 더 참기가힘드네요!,슬픔
42576, 이제 정말 힘든 생활만남았네요...이렇게 살수있을까요?,슬픔
42577, 커밍아웃 해도 괜찮을까요?,슬픔
42578, 내가 선택한길이 후회가되면 안되는데너무 좌절되네요,슬픔
42579,어디가서 소리 겁나게 지르고 오고싶네요,슬픔
42580,걱정이 많았어요...,슬픔
42581,너무 아파요ㅠㅠ,슬픔
42582,아직도 6일남은게 더 고민0,슬픔
42583, 백조도 한달반가량..마음이 너무 괴로워요,슬픔
42584," 옛날에 좀 심하게왕따를 당한 후 생겼습니다,",슬픔
42585, 계속 이런상태면 결국 서로 다 지칠텐데..,슬픔
42586,흔히 말해 전 보통사람보다 좀 모자랍니다.,슬픔
42587, 험난했다고 해야하나지난했다 해야하나그냥 머리만 아프다참,슬픔
42588,어찌해야되 언니들..ㅠㅠ난 서울살고 개는 공주에서 훈련받는데..,슬픔
42589,그런데 일단 오늘부터 생리가 시작됐어요.끊임없는 ㅠㅠ,슬픔
42590,베아파 죽을뻔했음..,슬픔
42591, 리프트도 안올려서 대형 꼬이고...... 속상해..ㅠㅠㅜㅜㅜㅠ,슬픔
42592,왜 맛이 없는지.ㅠㅠ,슬픔
42593,지나가는길에 빵냄새만 맡아도 토할것같아여...,슬픔
42594,"다른사람들처럼 막 빡세게 운동하고 그렇겐 안했는데,올초 68 후반이었는데 지금은 58 후반됐어요ㅠㅠ",슬픔
42595,그후 2주에 한번씩 술마시구 자꾸전화와서잘지내냐구 하던데..,슬픔
42596,비참하죠?,슬픔
42597, 근데 걔가 생각좀 해보고 했는데제발 아니라고 했으면 좋겠음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,슬픔
42598,그리고 밥을 먹으면 다 토해요ㅠ,슬픔
42599, 원래 결혼하면 점점 힘들어지는거임?,슬픔
42600,참고로저는 여자인데 국가직세무공무원실제로 일이 마니힘든가여쭤보고싶어서요ㅜㅜ,슬픔
42601,앉았다 일어서면 다시 주저앉을정도고 가만히 있어도 어지럽네요ㅠ,슬픔
42602,그래서 중견기업도 힘들지 않을까 생각하는데 나이가 많아서요...,슬픔
42603,뒤늦게 세상에 쉬운게 없다는 걸 깨달아 ..,슬픔
42604, 하소연할곳이없어 이렇게 씁니다,슬픔
42605,그런것에 흥분하는 제 자신이 자기혐오에 빠져서...,슬픔
42606,그래서 잘거라서고민저잘때 글좀쓰지마세여 글읽기힘들단말이에요ㅕ0,슬픔
42607,옆집에 여자가새벽 3-4시쯤 계속 신음소리를 앙칼진 고양이 같이내서잠을 못자겠슴...,슬픔
42608,세상에 쉬운일이 어딨습니까.,슬픔
42609, 나 소개팅앱 중독인가봐매일 자기전에 한 2시간씩 소개팅어플 쫙 돌지 않으면 잠이 안와.. ㅠㅠㅠㅠㅠㅠㅠㅠ,슬픔
42610,  혼자 앓아야하는지..,슬픔
42611, 아 렙업고민 ㅠㅠ1,슬픔
42612, 조리원에서 퇴소하면 모유로만 먹여야 하는데 너무 힘드네요,슬픔
42613,잠이 안와하...,슬픔
42614,"그리고 팝송을 받는다던지,아니면 모르는걸 검색할때에도 ""넌또핸드폰이냐?""그러면서 잔소리를하십니다.",슬픔
42615,"저기에 엮이면 개노답간, 쓸개 다 털린다",슬픔
42616,성격차이로 제가먼저헤어지자고 하고 2달됫어요,슬픔
42617,그런데 저런 배아픈거보다신물이 너무 올라와서 힘들어요ㅠ,슬픔
42618,한번은 피가 나오던데...,슬픔
42619,이제 청소네요 ..,슬픔
42620,그런데 점점 자라면서 말을 참 말도 안듣고...,슬픔
42621,계속 인터넷에서 만난 사람은 만나지 마라하고 성인이 되었는데도 자전거여행때 매일같이 힘드냐,슬픔
42622,오늘따라피순이 졸리네여 ㅠㅠㅠㅠㅠ,슬픔
42623,학교일어나는게 좀 힘드네요.,슬픔
42624,오늘 추석이라 물류18박 스 ㅠ,슬픔
42625,"어떤일이든, 다 할거라고...화장실청소든 뭐든...",슬픔
42626,"주간 아침7시부터 저녁6시 까지인데, 너무 심심함 게임도 못하고 ㅠㅠ시간 때울거 추천 좀 해주세요ㅎㅎ",슬픔
42627,지친 하루를 마치고 집에 돌아왔을때이상하게 낯선 기분뭔지 모를 이 어지러움과알 수 없는 이 답답함,슬픔
42628,"한화가 9회에 홈런으로 역전을 시켜서,또 졌구나...",슬픔
42629,오빠 만나러 언제쯤갈가염 ㅜ.ㅜ,슬픔
42630,초보운전자들 죽어나것구나...,슬픔
42631,Jtbc 종편이라부르면 괜히 미안해ㆍ?,슬픔
42632,태어나서 죄송합니다 엄마...,슬픔
42633,역시 최종보스이자 절대악은 우리 인간,슬픔
42634,뭐 그럴수도있지 괜찮아 됐어!!!,슬픔
42635,베댓들 수준봐라.. 부끄럽다 이 나라 국민인게,슬픔
42636,지구도 짱깨들한테 하도 시달리다 보니 참을성의 한계가 온듯 ㄷㄷㄷ,슬픔
42637,오래했다고 주고 연애했다고달라하고 방송출연밖에 한게없는 신동업같은사람대상주고 올해 연예대상 유느님안줄려고 짠듯,슬픔
42638,좌약밖에기억안나요 미얀 ㅠ,슬픔
42639,짐승도 저렇게는 안하겠다,슬픔
42640,다람쥐랑 토끼가 싫어해요..,슬픔
42641,아무리깝쳐도 남자프로랑붙으면 디짐,슬픔
42642,어머니ㅠㅠㅠㅠㅠㅠ 죄송합니다,슬픔
42643,자전거 타는 사람으로써 미안합니다,슬픔
42644,세월호에는 1인당 몇억씩 주고 에콰도르라는 나라 하나한테 8억밖에 안주네.,슬픔
42645,"송구하오나, 제가 많이 부족해서,",슬픔
42646,뽑아주고싶은데 내가 일본인이 아님,슬픔
42647,나는 기아팬이라서 ㅠㅠ,슬픔
42648,손덕기는 에로영화에 나오더라,슬픔
42649, 죄송합니다.,슬픔
42650,진짜 세금 내기싫다,슬픔
42651,신동엽한테 사과해주세요,슬픔
42652,아니 딱 봐도 부은 얼굴이었는데 사람들 깔때마다 대체 내가 아니라고 얼마나 쓴지 모름...,슬픔
42653,다시한번죄송합니다!,슬픔
42654, 죄송해요,슬픔
42655, 나도 3시간동안 전부치는거 도와줬는데 엄마는 그후로도 고기 생선 나물 국 준비하시느라 쉬지도 못하더라.,슬픔
42656, 공주는 똥싸지 않는가?,슬픔
42657,고향이 경상도라서 죄송합니다,슬픔
42658, 시청자여러분들 죄송합니다ㅠㅠ,슬픔
42659,아... 야구 몰라요...,슬픔
42660,니들 나라로 꺼져라,슬픔
42661, 움직이질 못했다.,슬픔
42662,아직 갈수없어서 미안해,슬픔
42663,죄송합니다,슬픔
42664,일주일동안 반성하고 느낀점 달라질 점 진심 담아서 카톡 보냈어요..,슬픔
42665,"우선, 제가 고민을 들어주는 입장이어야 하는데 그러지 못해 죄송해요.",슬픔
42666,"비용이 어디에 얼마나 쓰이는지(교통비, 식비등 상세내용)은 안나와있어요",슬픔
42667,삭제할께요,슬픔
42668,미안했다.,슬픔
42669,정말 죄송합니다.,슬픔
42670, 아니면 내가 그만큼 좋아하지 않았나..?,슬픔
42671,너에게 어울리는 사람이 아냐나는 니가 아는 그런 사람이 아냐난 나쁜남자야 난 나쁜남자야,슬픔
42672,근데 생각은하되...,슬픔
42673, 하는생각두들고;;,슬픔
42674,방탈해서 죄송해요,슬픔
42675, 남자친구한테 미안해서 ㅠㅠㅠㅠ,슬픔
42676,궁금한거 말해바,슬픔
42677,후회하기 싫다.,슬픔
42678,부모님 가슴에 대못 박는일 나만 좀 참으면...,슬픔
42679, 시급 4500원인데,슬픔
42680,부모님께서는 일반 경리직보다 적은 월급에 많은 걱정을 하십니다.,슬픔
42681,일적으로나 인간관계에서도 피해를 주고 있지않나,슬픔
42682,나한텐 연차잡기전에 간다고 말을했다고 하는데 기억이 안나요ㅠ,슬픔
42683,제가 초5(여)인데 요즘 친구관계나 암튼 그런거 때문에 많이 힘든데 제가 오늘7시부터 잠이 들어 방금 일어났는데 이불에 오줌이 싸져 있네요ㅠㅠ,슬픔
42684,일단 방탈 해서 죄송해요.,슬픔
42685, 그는 절 아주 금방잊고 좋아하는 사람도 생겼는데 전아직도 그때에 머물고 있어요,슬픔
42686,아직 훈련소에 있는데요.,슬픔
42687,어색해 미치겠는데..,슬픔
42688, 저도 엄마에게 매우 죄송스러워요.,슬픔
42689,방탈죄송한데요,슬픔
42690,근데 그게 저때문인거같은기분이들어요..,슬픔
42691, 점심들 드시거나 드시기전일듯 한데 드러운얘기해서 지송 ㅠㅎ휴,슬픔
42692,미안해....,슬픔
42693, 부담스러워하는게 맞는거겠지,슬픔
42694,사진은 못올려서 죄송하무니닷!,슬픔
42695,본의아니게 맘상한글 있었다면 미안하고..,슬픔
42696,처음에는 그냥 하다가 짤리거나 관둘려고 했는데..,슬픔
42697,죄송합니돠스,슬픔
42698,이런글올려서죄송합니다..,슬픔
42699,막 생각하면 애틋하고잊기힘든,슬픔
42700, 죄송합니다!!,슬픔
42701,미안해 ...,슬픔
42702,사과할게,슬픔
42703,남편한테도 너무미안하고..,슬픔
42704,제가 일을 잘 못합니다.,슬픔
42705,제 욕심인가여 ㅠㅠㅠㅠㅠㅠ,슬픔
42706,진실은 저 너머에..머 아니면.. 죄송합니다.;;0,슬픔
42707,저 차단했는지 볼려고그사람 번호삭제하고 카톡에서삭제했는데만약 안했으면 친구추전으로 뜨나요..?,슬픔
42708,"저가 너무 알바를 해보고싶어서 알바천국,알바몬,알바인 이런곳을 다 해봤는데정말 다 20살이상이고 아니면 너무 거리가 멀고ㅠㅠ",슬픔
42709,방 더러운거 미안 ㅋㅋㅋ,슬픔
42710,아이고 부끄러워라.,슬픔
42711, 아프지마 ㅎㅎ차단한건 미안 .,슬픔
42712,미안해 고마워,슬픔
42713,미안하다능...,슬픔
42714,커져가는 미안함,슬픔
42715,잘못했어 돌아와,슬픔
42716,헤어지기 직전관관계인 느낌이라서 그래서 저도일부러 연락도 안하고 그랬는데 갑자기 이런비보를 들으니 뭔가 미안해지네요...,슬픔
42717, 미안했어. 사랑했어.,슬픔
